2026/04/21 20:09:23 🔒 安全配置: 连接限制=10/s, 消息限制=20/s, 聊天限制=1/s, 最大连接数=10000
2026/04/21 20:09:23 🎮 斗地主服务器启动中...
2026/04/21 20:09:23 🚀 服务器启动在 ws://0.0.0.0:1780/ws (CPU核心数: 8)
2026/04/21 20:09:51 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:10:20 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:10:48 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:11:17 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:11:46 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:12:14 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:12:44 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:13:13 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:13:41 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:14:10 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:14:38 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:15:07 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:15:36 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:16:04 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:16:33 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:17:01 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:17:30 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:17:58 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:18:27 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:18:56 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:19:26 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:19:54 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:20:23 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:20:51 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:21:20 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:21:50 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:22:18 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:22:48 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:23:17 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:23:46 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:24:15 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:24:44 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:25:13 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:25:42 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:26:12 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:26:41 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:27:10 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:27:39 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:28:08 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:28:37 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:29:06 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:29:35 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:30:04 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:30:33 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:31:02 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:31:31 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:32:00 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:32:29 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:32:59 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:33:28 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:33:57 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:34:26 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:34:55 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:35:24 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:35:53 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:36:22 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:36:51 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:37:19 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:37:48 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 20:38:17 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
